"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","426000","426000","426000","426000","426000","426000","426000","426000","432000","426000","427000","427000",
"Bangladesh","BGD","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","","","","","","","","","3.03711607347001","6.25927689248607","10.0002886919368","16.154081320697","9.70480994955297","9.15726189220546","12.4464188293976","9.73234155412615","12.6618322639432","13.5275162696658","9.93932765669349","16.1968914777904","13.359958773512","14.4009850934537","9.0031611749221","6.17106240713224","5.34260686375501","4.72602986044388","4.17888330245939","5.36916461289528","4.92892033887776","2.98886701674134","3.09873100017628","2.63136229341872","2.24764252422611","2.76144974713674","1.8266720227327","1.49877586332767","1.03019504282875","1.3015986707524","1.59266342656936","1.13150437434871","0.829618007684173","0.92514325891087","0.712128796962189","0.694886293720673","0.740082143514468","0.675087034634682","1.10266627855366","0.795636276015455","0.614671970267505","0.5891718224871","0.407836645849326","0.367701933705005","0.314806445256123","0.322037358973053","0.277060583706934","0.252305322469481","",
"Bangladesh","BGD","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","14.45517115","16.04577006","16.47122858","16.17390559","20.21603323","18.14873811","18.83641117","21.94137348","24.90639363","25.1743682","32.24453665","31.04887959","39.02738279","43.41149883","51.97431854","68.63555559","68.84976","78.78479423","81.15714754","85.29668691","100","96.44501945","98.30879562","111.4190168","130.6483968","144.8782367","184.3257796","191.6358646","227.9230191","219.4173882","271.4727996","316.1464355","318.5754251","380.3740107","400.9362255","435.1152664","469.2300949","486.1681687","529.6805464","528.4944775","",
"Bangladesh","BGD","Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","TM.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","2.41500161134386","0.826491817731004","0.690245639556909","1.86711182468713","5.28781615326488","6.29065223325145","6.68375128394011","7.99828389311106","10.6160211513293","9.97113889715855","4.64060617699949","10.6117098314753","9.99853533214313","6.92806869645343","9.23741260149946","7.88088528534467","9.90139146855678","7.38422979406545","7.14468822520909","10.2167035356916","9.74930708151708","10.6434690136932","12.5805465304598","13.7524650258554","16.3144323336427","14.3276390312299","12.0872595329576","14.5547103986742","15.1045308341549","18.671658496776","17.9282267086827","20.1282287882031","20.5914354692784","21.4650217479176","21.7244227444883","22.5663524838515","26.887980185237","28.3830475685579","31.0562693265105","29.4915376309349","30.2365121148127","30.147533285321","31.3294172265637","32.1002755230173","30.8304829819553","33.3570380048037","33.5237349303887","",
"Bangladesh","BGD","Tariff rate, most favored nation, simple mean, primary products (%)","TM.TAX.TCOM.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.97","","","","","78.42","","","","23.26","20.15","20.15","19.86","19.94","19.29","18.3","15.27","15.27","14.76","15.6","15.19","15.16","15.09","15.87","15.51","","15.56","15.57","","","15.81","",
"Bangladesh","BGD","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123.48","","","","","84.14","","","","27.73","22.12","22.07","20.83","20.88","19.62","18.5","15.34","15.34","14.54","14.5","14.24","14.23","14.24","14.16","13.41","","13.32","13.32","","","13.45","",
"Bangladesh","BGD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156000","166000","182000","172000","173000","199000","207000","207000","245000","271000","208000","200000","289000","467000","267000","139000","157000","160000","104000","134000","126000","182000","237000","267000","323000","",
"Bangladesh","BGD","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","48.0154489866966","48.0443626879283","48.0775218389763","48.1121894774622","48.1448035502994","48.1731336690938","48.1961986156499","48.2152851946116","48.2330985692151","48.2532839745012","48.2780037503141","48.3076456126877","48.340732029166","48.3751323839523","48.4076889455217","48.4357089733996","48.4595823508236","48.4793467697666","48.4920371075252","48.4943783645457","48.4851210388092","48.4634203636564","48.4323155284558","48.3989039555276","48.3719418571611","48.356978490854","48.3553491933202","48.3645024097597","48.3811130569575","48.4006335298254","48.4199577604213","48.438853068148","48.4582368666207","48.4777347147444","48.4971041271346","48.5162494624357","48.5354810292402","48.5550938335671","48.5750726723607","48.5954322663482","48.6165622921054","48.63699738922","48.6575994003898","48.6835240279591","48.7212897563743","48.7745277726002","48.8455005130032","48.9305737939954","49.0203816987568","49.1023496041231","49.1678997818018","49.2141070743514","49.2443819997218","49.2642811571794","49.2819400224771","49.3030594026594","49.328805151069","49.3572628649675","49.3872966665271","49.4169108771415","49.4447629328965",
"Bangladesh","BGD","Population ages 65 and above (% of total population)","SP.POP.65UP.TO.ZS","2.69310275709101","2.69920839040815","2.69996406261117","2.69476229141918","2.68350381666265","2.6679769104737","2.70421525698028","2.73071992497101","2.74813113280912","2.75932432101492","2.76840150751142","2.83324390832745","2.89379451969777","2.95130381017757","3.00495766554456","3.05385180816096","3.08751917120521","3.10635402705101","3.11090656661352","3.10394897808944","3.08867996155325","3.09785615962525","3.09632686897116","3.08412706179453","3.06174001123614","3.03091914571632","3.06110889020292","3.08665423038706","3.10808681654833","3.12633344468224","3.14289476105309","3.19574043448295","3.24515262043614","3.29184591309888","3.33612497606501","3.3790130809318","3.47587791210963","3.56968614095387","3.66255942203478","3.75684568367396","3.85410520844256","3.94900934594612","4.03892761554541","4.12605969230887","4.21367424184024","4.30386756246183","4.41405087143509","4.51926469056832","4.61617993332098","4.70092139309264","4.77182482205879","4.86590089058153","4.95111646054724","5.02287429670233","5.07423559635511","5.1033559765625","5.13561350228916","5.14947500781286","5.15839063962068","5.18035134847486","5.22700361322017",
"Bangladesh","BGD","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","4.86341430483375","4.82909839541229","4.80689079983761","4.79122443341565","4.77482405816733","4.75445044620211","4.71956345857505","4.68276211242405","4.6491432934752","4.62804981821949","4.62486609907242","4.65851282861959","4.71125113718402","4.77733542766208","4.84481330285844","4.90414179158595","4.87446242464684","4.85182629899403","4.84090752654693","4.84120005166808","4.84416649842048","4.76807396721908","4.70746206661142","4.66077647009754","4.62039553023187","4.58076991058782","4.52618870966204","4.46740391891309","4.39986022055139","4.31652435942882","4.21694253316649","4.09921040432617","3.96596226938112","3.84949824246352","3.79502001716338","3.8260610076254","3.92097379847704","4.08633501742003","4.29951394486092","4.52914067165051","4.75528942008657","4.96875016228915","5.18685910264906","5.39950254370742","5.59238101843559","5.75513656714844","5.87663929747831","5.97558427644467","6.05457743683634","6.11253655670139","6.14608874100635","6.15402431251075","6.13477710481121","6.10993791194409","6.10843400551907","6.14437475962436","6.20761731796223","6.30787781553263","6.43199979744633","6.55778391464993","6.67016514277333",
